id,Job Title,Summary
88,Java Developer,Previous work experience as a Software or Java Architect. Experience with the design and implementation of software networks.
89,Database Administrator,wilshire associate incorporated global investment advisory firm offer customized institutionally based solution meet investment need client wilshire fund management wfm division wilshire associate incorporated dedicated provide customized investment solution area asset allocation manager research portfolio construction risk management seeking identify senior database developer join operation technology team successful candidate responsible analysis design developing complex system application portfolio management process individual involved aspect project life cycle includes design programming testing implementation maintenance documentation she/he provide support business system developing maintaining enhancing existing web client based application re-engineering program conform system change solving complex customer third party data key responsibility database installation upgrading database management tuning monitoring performance database optimization database backup recovery restoration process implementation administration user database permission creation technical documentation desired skill background bachelor advanced degree computer science 0-3 year experience programming experience transact sql sql server knowledge sql server 2008/2014/2017 knowledge microsoft ssms ssrs ssis experience implementing maintaining tuning deploying development production environment experience creating table view stored procedure function concept database system security principle practice database administration dba principle practice research methodology data analysis etl data analysis experience offer international dynamic entrepreneurial work environment competitive compensation package including bonus opportunity 3 week vacation 8 paid holiday per year 401 k /roth 401 k /medical/dental/vision & life insurance visit www.wilshire.com additional company information wilshire associate incorporated equal opportunity employer minority/female/disability/veteran wilshire associate incorporated sec registered investment adviser required track certain political contribution rule 206 4 -5 may required disclose prior political contribution phone call required skill required experience
90,DevOps Engineer,"Ability to stay organized while multitasking in a fast paced environment
Ability to manage multiple projects with shifting requirements, dates, and priorities
Ability to coordinate and communicate with teams in multiple time zones globally
Fast paced self-directed learner able to pick up and master new technologies on the fly
DNS Subject matter expert
Atleast 5+ years experience administering enterprise BIND instances on large scale
Thorough operational understanding of DNS-sec
DNS troubleshooting and monitoring experience
Atleast 5+ years load balancer administration experience
Should have 8+ years Linux system administration experience
Python scripting experience
automation tooling, Terraform and Ansible
consuming REST APIs
Experience using configuration management tools such as puppet/ansible/chef/terraform to manage large fleet of servers
Enterprise monitoring experience such as LogicMonitor, Zabbix, icinga, or Splunk
Experience in 24x7 support role with oncall rotation"
91,Machine Learning,"AWS/GCP etc. 2+ years of work experience in NLP, Machine Learning, Deep Learning and Data Science."
92,Backend Developer,"You should have excellent communication, computer, and project management skills. You should be knowledgeable, collaborative, and motivated."
93,Machine Learning,"Essential Job Functions:
The job involves being part of the Research team working to continuously improve Radware Bot Manager’s bot detection engine. The Research Engineer’s role involves exploration and evaluation of different bot detection solutions and then productionalize it."
94,JavaScript Developer,Familiarity of UI Design Patterns. (i.e.
95,Database Administrator,software/systems operation administrator onboard new client hosting infrastructure support client production operation deploying change maintaining hosted infrastructure build maintain qcloud hosted infrastructure hype-v vms window active directory ftp server web server ftp server window fileshares deploy software database change using quorum deployment tool process working quorum support service resource various support task hosted live client environment work software organization troubleshoot application vm resource utilization issue work uphold potentially improve current hosted change management process support audit requirement process sae18/soc1 report implement managed hosted improvement project coordinate offshore team environment creation task deployment change ping monitor alert issue
96,Full Stack Developer,affinity privately held national solution consulting firm based milwaukee serve strategic advisor thought leader high- caliber client client employee value approach company “ big enough complex high impact work small enough truly care ” focus hiring motivated intelligent professional passion work desire grow along u visit website learn u exciting thing affinity www.affinityit.com role ? member identity management team collaborate larger software engineering team design develop test software identity access management solution working agile development environment building state art software solution requirement 5+ year experience web service framework and/or technology java spring springboot rest json experience federated identity management fim experience common development practice including ci/cd pipeline test automation agile development etc experience open-source authentication protocol related technology including openid connect oauth2.0 saml experience third-party iam product ca siteminder pingfederate pingidentity product experience back-end full-stack web development experience relational database development related technology experience directory-based technology ldap experience common development practice including ci/cd pipeline test automation agile development distributed version control etc bachelor ’ degree computer science similar field open minded team player !
97,Machine Learning,"SQL), scripting languages (e.g. tensorflow, pytorch)."
98,Wordpress Developer,"Exposure on Wordpress CMS, JavaScript/ jQuery. Knowledge of Custom Wordpress plugin development, And Theme Customization."
99,Software Engineer,"For more on how IAS is powering great impressions for top publishers and advertisers around the world, visit integralads.com. Equal Opportunity Employer:

IAS is an equal opportunity employer, committed to our diversity and inclusiveness."
100,Node js developer,"/ B.Tech. / B.Sc / B.Eng
B."
101,Machine Learning,"Key Responsibilities:

Identify key variables, parameters and elements defining a problem or its solution. Research and develop innovative, scalable and dynamic solutions to hard problems
Select appropriate data sets and data representation models
Run machine learning tests and experiments
Perform statistical analysis and fine tuning using test results
Scale the machine learning infrastructure for speed and performance
Keep abreast of developments in the field

Knowledge, Skills & Experience:

4+ years of Experience with Machine Learning or similar role
Ability to come up with the best model that would solve the problem at hand and develop and tune that model
Can apply probability models and machine learning approaches to solving complex problems
Strong coding skills with ability to write high performance code in Java/Python/R
Have experience using machine learning libraries or platforms
Strong understanding of data structures, data modelling and software architecture
Experience building scalable, sound architectures and reliable, high performance back-end services that work amazingly well in the complex real world as well as stand the test of time."
102,Wordpress Developer,"Wordpress CMS Web Developer

Experience in WordPress core, library, plug-ins and templates . Knowledge in JavaScript , HTML and CSS specifically for customization of WordPress sites ."
103,Node js developer,Handling daily/weekly/month status reports. Good understanding of different software development processes.
104,Database Administrator,overview worldventures dynamic global member-based travel company currently looking sr database administrator join tech ops team corporate headquarters plano tx sr. dba responsible owning resolving complex issue completion well providing operational database administration service enterprise work closely ops engineering manage internal external database system responsibility collaborate developer process owner stakeholder identify interpret document business requirement engineer implement solution aws rds ec2 primarily via sql couchbase ownership lifecycle administration multiple stack web bi etc environment prod sub-prod resolve system issue track incident ensure successful backup monitor automated job enhance system availability / resiliency identify resolve performance bottleneck provide database design query/stored proc design etl process analysis platforms/systems/services identify area feature enhancement performance tuning query rewrite stability / availability improvement various platform sql postgres couchbase etc provide detailed monitoring alerting support database related system assist integration various platform service qlikview exigo implement upgrade enhancement fix following change management procedure maintain technical standard security compliance system documentation duty assigned qualification deep understanding 7+ year ’ experience administering sql server 2012 2017 production environment hands-on experience performing incident resolution tuning integration migration automation stored procedure agent job ability work independently ability accountable issue way resolution mcdba mcse data platform similar certification/degree excellent written verbal skill ability make work process visible knowledge nosql preferably couchbase openness platform history working developer .net environment appreciated experience couchbase dynamic ax qlikview exigo redshift worldventures privately held company based plano texas active representative member 28 country worldventures proudly offer competitive salary benefit including limited medical dental vision life / ad & ; fsa 401k robust vacation holiday package addition full time employee automatically receive worldventures membership cost allow employee access exclusive dreamtrips group travel experience
105,Java Developer,"We use an Agile development environment, working on state-of-the-art modeling and machine-learning. Required Qualifications:
At least 5 years of full stack Java or equivalent language development experience
At least 1+ year experience with React or Angular.js is strongly preferred
Experience with AJAX and Javascript, jQuery
At least 2-3 years of experience with SQL/Relational Databases
Experience with relational databases, must be able to query data
Experience in Windows and Linux environments
Rock star ability with Javascript, jQuery or related frameworks."
106,JavaScript Developer,"We are looking for a senior software engineer to join our product development team in Hyderabad, India building a modern web UI platform. Strong software engineering skills with industry experience delivering commercial software
Apply your deep understanding of JavaScript and CSS to lead the design, architecture and implementation of reusable UI components in a multi-device, modern web UI framework
Create well-designed, consistent, and comprehensive APIs
Design and evolve our CSS codebase using modular development patterns (BEM, OOCSS, etc."
107,iOS Developer,Knowledge of low-level C-based libraries is preferred. Familiarity with continuous integration.
108,PHP Developer,"Teamwork php back end development, maintenance, and constant improvement. Write clean, scalable code."
109,Machine Learning,"You willvbuild a deep understanding of the business problems our customers are tackling and then develop, test, and deploy advanced machine learning algorithms. And conversely, translate business needs and user needs into language and concepts that other data scientists can understand and work with."
110,JavaScript Developer,"JOB SUMMARY

We are looking for Frontend JavaScript Developer with experience in JQuery, Javascript, HTML5 and CSS3 to convert designs and wireframes into high-quality code/web pages. Knowledge & Experience Requirements:
Proven experience in Front end Technologies: In-depth knowledge of HTML5, CSS3, and JavaScript / JQuery
Javascript / jQuery: At least 2 years of experience with Javascript."
111,Backend Developer,"Role: We are into providing technical consultancy and services to our clients, your main role would be to take the lead of the Backend Development for various projects specifically in Django LTS versions or Nodejs with Express and Mongo/MySQL and Sequalise.
Responsibilities and Duties
Understanding the requirement of a client, document the scope and chart out a plan of implementing the scope
Work with design team to give inputs related to the wire-frames and then the design along with incorporating Client Feedback
Explore the difference between B2B and B2C projects before implementing the code
Work in teams of 2-3 on various projects as per the requirement using git as version control
Having good knowledge of APIs creation and database architecture
Good Grasp in respective technology (Nodejs or Django)
Documenting the process and main functions along the developing process
Job Type: Full-time
Salary: ₹600,000.00 - ₹1,000,000.00 per year
Schedule:
Day shift
Experience:
Programming: 2 years (Preferred)
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Temporarily due to COVID-19"
112,Java Developer,"*
Release beta apps for testing. *
Experience with any front-end framework."
113,Java Developer,"At Nagarro, you can look forward to a work culture that is dynamic and non-hierarchical. You will be given opportunities to add value to challenging and complex assignments, while collaborating with world class technologists."
114,Java Developer,"Job Description

Title: Java Developer

Job Location: Andheri, Mumbai

Budget: 7.5 Lacs

Exp: Minimum 3+ yrs

Skills:

Java/J2EE Technologies(JDBC, JSP, Servlets) - Mandatory

Spring Framework( Spring Core, Spring AOP, Spring JDBC, Spring Transaction, Spring MVC, Spring Security, Spring Rest , Spring Mail) - Mandatory

Web services(Restful Web Services), Oracle database, Eclipse IDE, SVN, Apache Tile,JavaScript, JQuery, AJAX, JSON, Log4j, Weblogic 12c, Tomcat. Desired Candidate Profile
Please refer to the Job description above

Education-

UG:B.Tech/B.E."
115,Flutter Developer,Job Summary-Sound experience on Java with android app development. -Android App developer.
116,JavaScript Developer,"JavaScript Developer (or Front-End Developer) – India
Position Start
July 2020
Employment Type
Full-Time
Job Functions
Development
About us
Euroland IR is an international company based in Sweden. Nice to have:
Experience with one popular JavaScript framework, like React/Angular/VueJS."
117,Software Engineer,"Working knowledge UNIX/Linux system calls, and the POSIX API in general. Working knowledge of UNIX IPC mechanism."
118,PHP Developer,"*

• Knowledge of version *control(git) is expected. *

• Knowledge on *VueJS preferred."
119,Backend Developer,"Urgently Looking For a Full stack Developer with Dedicated and passionate professional with minimum 3 years of experience in web &
mobile app development. Skills Required:

HTML 5, CSS 3, JQuery, Bootstrap
Javascript,
Nodejs,Express.Js
React-Native
PHP
PHP Frameworks -Laravel,Codeigniter
MySQL, MariaDB
React
Mongodb

Interested Candidate can Direct Apply Or Contact; 8129569484

Experience: 3 - 4 Years

Location: Calicut."
120,JavaScript Developer,"Good command over JavaScript . Good team player with excellent interpersonal skills, self-motivation/self-learning."
121,PHP Developer,"Maintain a Product
Bug Fixing and Further Development
Team Building and Handling
Desired Candidate Profile
Must have experience and knowledge in PHP Laravel framework
Good knowledge of PHP Laravel and perform all aspect of the development task including front end, back end, and database development
Familiar and Contribute in a team-oriented environment
Hands-on experience of PHP(Laravel), MySQL, HTML, CSS, JavaScript, Jquery, AJAX, responsive front-end frameworks (e.g. Bootstrap), Git."
122,Django Developer,Responsible for Unit design and coding. Responsible for conducting proper unit testing.
123,JavaScript Developer,"About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries powered by the worlds largest network of Advanced Technology and Intelligent Operations centers."
124,Node js developer,- Hands on experience in Node.JS and good understanding of closures. - Strong experience in client side Javascript MVC frameworks.
125,Backend Developer,"We especially encourage women, sexual and gender minorities, people with disabilities, and members of other underrepresented groups to apply. We do not discriminate on the basis of race, color, religion, sex, marital status, sexual orientation, national origin, HIV/AIDS status, or disability."
126,JavaScript Developer,"Founded over the fall of 2016 by Tech entrepreneur Amir Mansour, BlackSwan is a fantastically fast-growing startup at the cutting edge of e-commerce and Ad Tech. BlackSwan is now exiting stealth mode and further consolidating its leadership position on the market."
127,DevOps Engineer,"6+ years of experience as DevOps engineer or similar software engineering role
Experienced in managing and maintaining the infrastructure system in AWS
Experienced in managing and setting up new environments in PCF (Pivotal Cloud Foundry) for micro services deployment
Experienced in creating dashboards using Splunk / Grafana
Experienced in GitLab CI/CD
Experienced in Docker and Kubernetes
Experienced in using scripting languages like python/groovry/go/shell scripting to automate day to day ops, pipeline, and deployments to AWS/PCF
Experienced in creating dashboards, intelligent alerts, integrate AppD, Pagerduty, Slack, GitLab, etc. Strong understanding of CICD practices
Mandatory hands-on experience in any MDM – Mobile device management platform(preferably Mobile Iron)

6+ years of experience as DevOps engineer or similar software engineering role
Experienced in managing and maintaining the infrastructure system in AWS
Experienced in managing and setting up new environments in PCF (Pivotal Cloud Foundry) for micro services deployment
Experienced in creating dashboards using Splunk / Grafana
Experienced in GitLab CI/CD
Experienced in Docker and Kubernetes
Experienced in using scripting languages like python/groovry/go/shell scripting to automate day to day ops, pipeline, and deployments to AWS/PCF
Experienced in creating dashboards, intelligent alerts, integrate AppD, Pagerduty, Slack, GitLab, etc."
128,Software Engineer,"Who We Are
Empirix is a leading provider of customer-centric business solutions. Here at Empirix, we value code quality, a passion and curiosity for coding and technology, and expect our engineers to take ownership and responsibility for everything we deliver."
129,JavaScript Developer,"For this position, we are seeking a senior web developer to join our growing team in Reston, VA. Leading contributor individually and as a team member, providing direction and mentoring to others."
130,Full Stack Developer,swell investing fintech start-up place investing meet technology business meet idealism swell make impact investing easy accessible inspiring swell looking jack trade full stack developer build feature lead team ensure product experience seamless well secure full-stack developer charge building back-end data infrastructure front-end consumer application deliver exceptional user experience swell consumer use agile development strategy user-centered research keep swell leading edge develop maintain product feature building wireframes integrating third-party apis example financial transaction ensuring feature secure user-centered refactoring go keep quality high code easy understand serve voice technology collaborating swell team member key stakeholder overall strategy product roadmap experience design marketing strategy capability partner closely product management design engineering team member develop iterate platform design overall architecture employ agile development practice new priority arise business goal change address user feedback product feature play key role hiring onboarding great team support growth evolution swell product requirement must full-stack engineer react/redux ruby rail bdd/tdd excited agile development ha experience passion building financial technology fintech product passionate building amazing digital product market delight consumer drive business performance passion social impact plus
131,DevOps Engineer,Zivame is now the No. is plus.
132,Network Administrator,"looking for desktop support engineer freshers can also apply
Job Description:

To design, organize, modify and support the organization's computer systems. Should handle any issues related to Local Area Networks (LAN), Wide Area Networks, and Network segments
Maintains operating systems, business applications, security tools, web-servers, email, laptop, and desktop PCs
To optimize and lead process improvement."
133,Backend Developer,Having kubernetes API server experience (Optional). Having experience in developing web application.
134,DevOps Engineer,"Analyze, troubleshoot and resolve system, software, network, and storage failures for a globally distributed cloud infrastructure
Configure, test, deploy, and upgrade software for production EC2 servers in AWS
Author and recommend settings for applications, operating systems, networks, and cloud services to improve performance, security, and reliability
Design and develop monitoring and 100% uptime solutions for critical systems including our own in-house web hosting offering. Provide backup support to the team of support engineers as required in all aspects of technology
Strong interpersonal communication skills and ability to work well in a diverse, team-focused environment with other Engineers, Product Managers, etc."
135,Network Administrator,"Responsibilities and Duties
Proactively maintain and develop all our infrastructure technology to maintain a 24x7x365 uptime
Maintain best practices on managing systems and services across all environments
Fault finding, analysis and of logging information for reporting of performance exceptions
Proactively monitoring system performance and capacity planning
Manage, coordinate, and implement software upgrades, patches, hot fixes on servers, workstations, and network hardware
Create and modify scripts or applications to perform tasks
VMware infrastructure
Must have knowledge and experience in Azure and AWS infrastructures
Email Server configuration. Install, configure and maintain database servers and backup configuration."
136,iOS Developer,"*
i. iv."
137,Full Stack Developer,\ -- -- -- -- -- - \ -- -- -- -- -- - code pilot data science company mission change hiring process engineer judged talent created code pilot portfolio intelligent platform showcase validate share skill hiring manager real-time need resume cover letter phone screen technical interview build code pilot portfolio let code talking \ -- -- -- -- -- -- -- -- -- - looking \ -- -- -- -- -- -- -- -- -- - new team member support development platform one hiring partner order eligible please build code pilot portfolio http //portfolio.mycodepilot.com want build brand working coming startup changing landscape employment opportunity fellow software engineer ? well funded proven entrepreneurial/engineer startup \ -- -- -- -- - \ -- -- -- -- - perform project task independently may direct effort others participate and/or lead development deliverable content meet need client contract provides coaching junior staff contribute new business proposal proposal development manages personal professional development ; seek opportunity professional growth build tool explore analyze graph data distributed dozen node cloud-based cluster develop deploy cloud develop machine learning pipeline put model production create custom user interface enable end user interact million record work collaboratively bright creative developer architect business leader \ -- -- -- -- -- -- -- - qualification \ -- -- -- -- -- -- -- - demonstrated ability creatively solve technical problem demonstrated ability work collaboratively small team experience working cloud based environment google cloud platform gcp amazon cloud using language jupyter tensorflow \ -- -- -- -- desired \ -- -- -- -- experience working independently minimal guidance strong problem solving troubleshooting skill experience exercising mature judgment experience javascript microsoft sql server sql server google cloud amazon cloud service sdlc scrum process python javascript reactjs node mongodb \ -- -- -- -- -- -- culture \ -- -- -- -- -- -- transparency innovation collaboration execution tenet culture positive supportive culture encourages people best work every day celebrate individual recognizing uniqueness offering flexibility make daily choice help healthy centered confident aware continuously looking new way maintain culture people excel lead healthy happy life
138,Node js developer,The Developer experience team is tasked with building highly reliable intuitive tools to enable software development at PayPal. The Developer experience team is tasked with building highly reliable intuitive tools to enable software development at PayPal.
139,JavaScript Developer,WW CoE consultants interact directly with VMware customers. VMware encourages applicants of all ages.
140,PHP Developer,"Dear Candidate,

We are looking for Web Developer (PHP, Wordpress). Job Responsibilities:

Candidate must be expert in PHP."
141,Full Stack Developer,mashgin ’ built self-checkout kiosk us computer vision scan multiple item without barcodes reducing checkout time 10x ’ completely recreating checkout experience industry ’ little innovation decade going combinator 2015 mashgin ha raised $ 10m+ investor like matrix partner kpcb venrock raised series round ready scale ’ looking full-stack developer help u build software run kiosk power extensive infrastructure behind addition building traditional web stack ’ work code interface hardware visual component making sure kiosk extra reliable user experience amazing specialized position - believe end-to-end ownership project ’ contributing many different part codebase multiple language 'll ... working small interdisciplinary team hardware software design build new version product scratch building new feature dreaming new architecture solve problem rethinking recreating existing codebases scale improving maintaining code ’ already production minimum qualification b.s higher computer science equivalent work experience excellent knowledge one language python node.js c++ go c java comfortable learning new language library framework solution call experience building production-ready code ’ used regularly lot people preferred qualification experience fast-paced work environment shipping quality code quickly iterating comfortable deploying managing cloud infrastructure good knowledge algorithm data structure strong proficiency sql database tech offer opportunity work small multidisciplinary team potential break new ground many different industry location minute walk san antonio caltrain station mountain view across street san antonio shopping center food free meal snack office excellent health dental insurance flexible pto policy competitive salary option small rapidly scaling company
142,PHP Developer,"JOB DESCRIPTION FOR A PHP DEVELOPER *
We are looking for a PHP developer who is dedicated to his/her craft, writes code that is proud of and can hit the ground running. (Code-igniter, Yii, Yii2 (preferable)) 4+ years of experience working with HTML, JavaScript, jQuery, and CSS
Preferred Skills/Experience: *
Experience developing in an MVC framework
Experience in Node JS (Not necessary)
Experience configuring and maintaining virtual servers
Experience configuring IIS web servers
Experience working with JSON and web services
Experience using version control systems for code integrity
Experience with developing as part of a team Desired
Experience: MySQL, PHP, HTML5, JSON, Yii2, Code igniter, Yii (Any MVC pattern framework) Professional Skills: Excellent verbal, interpersonal, and written communication skills Strong analytical, problem-solving and decision making capabilities Ability to work independently with minimal supervision
Job Type: * Full-time
Timings: * 9:30 AM – 6:30 PM."
143,Network Administrator,"Job Description
Experience - 6 months to 1 year
Assist with monitoring log management systems. Help support system admins in day-to-day projects
Knowledge of M365,O365
Job Type: Full-time
Job Type: Full-time
Salary: Up to ₹16,000.00 per month
Experience:
system administration: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
144,Machine Learning,"About Digital Centre of Expertise

Shell’s Digital Centre of Expertise, part of Shell’s Technology business unit offers the opportunity to lead the digital transformation of the energy industry. As Data Scientist, you’ll be working closely with various Shell businesses."
145,Flutter Developer,"Develop a hybrid mobile app for iOS and Android platform using the Flutter framework. Candidate should have good expertise in developing a hybrid mobile application, with at least 2+ years of experience in the Flutter framework

Job Type: Full-time

Salary: From ₹15,000.00 per month

Experience:
total work: 1 year (Required)
javascript: 1 year (Required)"
146,Java Developer,"Senior QA Engineer (Selenium, Java) - Bangalore
Compensation: Best in the industry - Fixed + Bonus + Stock options (10x expected in 3 years)
Company: Eltropy is one of the fastest growing boot strapped Silicon Valley SaaS startups. - Automate the regression suites to ensure stability in the product
- Automation of functional testing, integration testing, Mobile application testing, Core banking integration testing
- Automation of APIs testing."
147,Full Stack Developer,product team affirm delivers key product goal enable retail partner grow business online offline team executes revenue generating priority strengthens affirm offering across portfolio merchant consumer unique opportunity gain exposure skill required succeed b2b b2c capacity order succeed vision offer honest financial service improve life team must maintain extreme efficiency deliver seamless experience every customer interaction 're looking experienced motivated software engineer build product system serve customer merchant partner employee 'll lead development product merchant partner customer finance risk operation team collaborate product management design platform engineering iterate enhance product offering plan design communicate implement software system eye towards robust extensible architecture lead technical discussion plan improve overall software quality develop technical specification decompose specification task phase estimate project work effort delivery create project roadmap continuously raise bar term code quality performance system design look passionate passionate affirm 's mission `` deliver honest financial product improve life '' technical fluent full-stack development use react/redux + python/flask collaborative enjoys cross team collaboration especially product manager designer user focused care detail user experience affirm affirm using technology re-imagine re-build core part financial infrastructure enable friendlier transparent financial product service improve life believe financial industry fundamentally broken core infrastructure built technology 1970s dwindling number people say `` trust bank look '' ’ way ’ mission fix problem based san francisco ; founded max levchin founding cto paypal jeff kaditz cdo dena/ngmoco nathan getting founding cto palantir ; building team exceptionally talented people join u mission li-ah1
148,Wordpress Developer,Integrating feeds from social networks. Integrating with third-party APIs.
149,Full Stack Developer,overview perficient ’ deliver mission-critical technology business solution fortune 500 company recognized brand planet ’ cutting-edge technology thanks close partnership world ’ biggest vendor network office across north america well location india china give opportunity spread wing ’ proud publicly recognized “ top workplace ” year year due small part entrepreneurial attitude collaborative spirit set u apart keep colleague impassioned driven fulfilled opportunity perficient currently ha career opportunity angular developer detroit office located livonia mi angular developer participate aspect software development lifecycle including estimating technical design implementation documentation testing deployment support application developed client member working team environment take direction solution architect lead development activity responsibility serve front end development lead mentor participate phase front end development effort including architect estimate develop test deliver provide technical support leadership development continual improvement service develop maintain effective working relationship team member demonstrate ability adapt work team member various experience level qualification passionate coder 7+ year application development experience must full stack java developer strong angular nodejs experience client facing consulting experience highly preferred javascript framework angularjs ember.js others java/javaee experience strong expertise front-end technology javascript es6 react etc skilled problem solver desire proven ability create innovative solution flexible adaptable attitude disciplined manage multiple responsibility adjust varied environment future technology leaders- dynamic individual energized fast paced personal professional growth phenomenal communicator explain present concept technical non-technical audience alike including high level decision maker bachelor ’ degree mi computer science math engineering comparable major solid foundation computer science strong competency data structure algorithm software design knowledge experienced developing software using agile methodology proficient authoring editing presenting technical document ability communicate effectively via multiple channel verbal written etc technical non-technical staff perficient full-time employee receive complete competitive benefit offer collaborative work environment competitive compensation generous work/life opportunity outstanding benefit package includes paid time plus holiday addition colleague eligible number reward recognition program including billable bonus opportunity encouraging healthy work/life balance providing colleague great benefit part make perficient great place work perficient perficient leading digital transformation consulting firm serving global 2000 enterprise customer throughout north america unparalleled information technology management consulting creative capability perficient perficient digital agency deliver vision execution value outstanding digital experience business optimization industry solution work enables client improve productivity competitiveness ; grow strengthen relationship customer supplier partner ; reduce cost perficient 's professional serve client network office across north america offshore location india china traded nasdaq global select market perficient member russell 2000 index & p smallcap 600 index _perficient equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex national origin disability status protected veteran status characteristic protected law._ _disclaimer _ _the statement intended complete statement job content rather act guide essential function performed employee assigned classification management retains discretion add change duty position time._ _li-js1_
150,Flutter Developer,"You will be ensuring the apps developed have a good customer experience. Benefits
Great environment to work in."
151,Django Developer,IT. Basic knowledge in Unit Testing.
152,Network Administrator,B.Tech. Should have Hands on Experience in Network Tools.
153,Wordpress Developer,"Candidate would be responsible for both back-end and front-end development, including creating WordPress themes and plugins. Primary web development resource for day to day internal marketing initiatives Develop responsive websites and/or web applications with a mobile-first approach Design and implement new website features and functionality to stay in alignment with market dynamics and industry trends Deliver high-performing and efficient web sites, pages and services Support marketing team to perform SEO related development tasks in Wordpress Contribute to all phases of the development life cycle and participate in cross-functional technology projects / initiatives Write HTML and CSS modifications ensuring consistent style across platforms and browsers Edit and make changes to front-end technologies, including HTML5, CSS3, JavaScript, jQuery across multiple brand websites

Job Type: Full-time

Salary: ₹10,000.00 - ₹15,000.00 per month

Experience:
WordPress: 3 years (Required)
work: 3 years (Required)
total work: 3 years (Required)
Education:
Bachelor's (Required)
Benefits:
Other
Industry:
Software Development
Work Remotely:
Yes"
154,Full Stack Developer,job title java full stack developer job description 4+ year web development using html/html 5 javascript jquery ajax cs 2+ year web application development using java j2ee technology mvc/spring framework good knowledge problem solution cross browser compatibility write code according varying level specification created ui designer order create mock-up prototype final product independently design code test major feature well work jointly team member deliver complex change good experience understanding ajax object-oriented javascript dom xml mandatory skill node j html/html 5 javascript jquery ajax cs technical skill sno primary skill proficiency level rqrd./dsrd 1 java pl1 required 2 xmlxslt pl1 required 3 mvc/spring pl1 required 4 webservices pl1 required proficiency legend proficiency level generic reference pl1 associate ha basic awareness comprehension skill process acquiring skill various channel pl2 associate posse working knowledge skill actively independently apply skill engagement project pl3 associate ha comprehensive in-depth specialized knowledge skill / ha extensively demonstrated successful application skill engagement project pl4 associate function subject matter expert skill associate capable analyzing evaluating synthesizing solution using skill job location chicago illinois united state employee status full time employee shift day job travel job posting aug 01 2018 cognizant u corporation equal opportunity employer minority/female/disability/veteran require accessibility assistance applying open position u please send email request careersna2 @ cognizant.com cognizant cognizant one world 's leading professional service company transforming client ' business operating technology model digital era unique industry-based consultative approach help client envision build run innovative efficient business headquartered u.s. cognizant member nasdaq-100 ranked 195 fortune 500 consistently listed among admired company world learn cognizant help client lead digital www.cognizant.com follow u twitter usjobscognizant cognizant recognized military friendly employer coalition member veteran job mission cognizant veteran network assist veteran building growing career cognizant allows leverage leadership loyalty integrity commitment excellence instilled participation military service
155,Full Stack Developer,3play medium offer truly unique opportunity work small team developer company offer startup-minded size culture robustly backed steady stream customer project every day system process hundred hour video content helping u improve expand way people consume online medium make web ’ video content accessible ’ also excited brand-new product pipeline ! looking enthusiastic full stack developer strong work ethic eager learn solve challenging problem build new feature product pair developer well work independently project given every opportunity show ’ made take charge project need little leadership ’ work large new product fix small bug everything role responsibility expand transcript editing tool used hundred captioners customer efficiently edit time-synchronized text along video source add creative new feature interactive transcript video accessibility plugins implement new feature request well fix customer contractor facing application build integration third-party apis including video hosting platform cloud-based machine learning service speech-to-text text-to-speech service aggregate analyze visualize large data set across hundred thousand hour billion word worth uploaded video content pitch team component application demand immediate attention position requirement 3+ year experience demonstrable aptitude ruby rail another web development framework strong communication collaboration skill determination step challenge eagerness learn share knowledge good problem solving debugging ability self-motivation drive progress including collaborating others insatiable curiosity discover everything work hood least one 1 2+ year professional experience writing kind software ; 2 degree cs-related field nice proficiency coding language ruby python java c++ good knowledge javascript html cs familiarity algorithm algorithmic complexity git & github collaborative version control system company 3play medium rapidly growing profitable start-up making huge impact way people consume online medium provide premium captioning transcription audio description translation solution 2500 higher ed enterprise medium government customer goal simplify workflow flexible apis secure online account system integration multitude player platform lecture capture system got start 2007 mit sloan based boston work environment awesome work environment !
156,iOS Developer,7.Excellent optimization and debugging skills. 8.Excellent communication skills.
157,Flutter Developer,"Wanted Android / IOS /Web Developer fresher or 1 year experience , Person with knowledge and experience of backend API development will be preferred.
Skill Set - Kotlin / Swift / Flutter / PHP / .net/ WP / JavaScript / HTML5
Job Type: Full-time
Salary: ₹15,000.00 - ₹20,000.00 per month
Schedule:
Day shift
Education:
Bachelor's (Preferred)
Work Remotely:
No
Speak with the employer
+91 9893014996"
158,JavaScript Developer,"Day to day, we focus on the give and take. Many of us are."
